media_id,media_type,engagement,impressions,reach,saved,video_views,video_comments,video_likes,video_plays,video_reach,video_saved,video_shares,video_interactions
18167549188281056,CAROUSEL_ALBUM,50.0,138.0,89.0,0.0,0.0,,,,,,,
18273489337119691,VIDEO,,,,,,33.0,623.0,4356.0,3821.0,24.0,0.0,680.0
18059939899353810,VIDEO,,,,,,3.0,171.0,2540.0,2398.0,4.0,0.0,178.0
17980556446942319,VIDEO,,,,,,9.0,251.0,2733.0,2601.0,10.0,0.0,270.0
18347885284026803,VIDEO,,,,,,5.0,502.0,14619.0,14677.0,24.0,0.0,531.0
18179542273249425,VIDEO,,,,,,9.0,185.0,2274.0,2204.0,7.0,0.0,201.0
17951610170327993,VIDEO,,,,,,7.0,250.0,2813.0,2851.0,6.0,0.0,263.0
17990924653681298,VIDEO,,,,,,11.0,322.0,4383.0,4425.0,8.0,0.0,341.0
18053467066378330,CAROUSEL_ALBUM,171.0,2166.0,1833.0,1.0,0.0,,,,,,,
18340669381031613,VIDEO,,,,,,12.0,406.0,6365.0,6321.0,93.0,0.0,511.0
18010270168526764,VIDEO,,,,,,4.0,726.0,5592.0,5526.0,17.0,0.0,747.0
18318990493073675,VIDEO,,,,,,7.0,376.0,4762.0,4913.0,8.0,0.0,391.0
17997503683632576,VIDEO,,,,,,12.0,522.0,5644.0,5664.0,13.0,0.0,547.0
17970142465992427,VIDEO,,,,,,138.0,4614.0,114692.0,108565.0,360.0,11.0,5123.0
17991255901751643,VIDEO,,,,,,10.0,276.0,4307.0,4283.0,12.0,0.0,298.0
18042017350412165,VIDEO,,,,,,0.0,373.0,3843.0,3927.0,11.0,0.0,384.0
18195149029223547,VIDEO,,,,,,16.0,417.0,4904.0,5095.0,16.0,0.0,449.0
17955264359235742,VIDEO,,,,,,21.0,985.0,21222.0,20574.0,230.0,1.0,1237.0
18008579281553978,VIDEO,,,,,,3.0,434.0,4153.0,4157.0,11.0,1.0,449.0
17964422576225593,CAROUSEL_ALBUM,180.0,1824.0,1688.0,6.0,0.0,,,,,,,
17936022068496000,VIDEO,,,,,,0.0,291.0,4162.0,4157.0,9.0,0.0,300.0
18274224391106264,VIDEO,,,,,,11.0,362.0,20556.0,19869.0,29.0,0.0,402.0
17944914647344114,VIDEO,,,,,,7.0,359.0,3869.0,3776.0,15.0,0.0,381.0
18003721357569183,VIDEO,,,,,,5.0,551.0,4463.0,4374.0,16.0,0.0,572.0
17943786437382112,VIDEO,,,,,,4.0,280.0,3108.0,3150.0,16.0,0.0,300.0
17988049051663862,VIDEO,,,,,,1.0,131.0,2278.0,2291.0,7.0,1.0,140.0
18341676139055106,VIDEO,,,,,,3.0,206.0,3645.0,3555.0,7.0,0.0,216.0
18003270592577641,VIDEO,,,,,,2.0,291.0,2452.0,2431.0,9.0,0.0,302.0
17854781018895436,VIDEO,,,,,,2.0,254.0,3062.0,3090.0,9.0,0.0,265.0
17938981268450704,VIDEO,,,,,,11.0,328.0,5054.0,5123.0,19.0,1.0,359.0
18337537099027287,VIDEO,,,,,,20.0,295.0,3550.0,3646.0,8.0,1.0,324.0
18214572064202170,CAROUSEL_ALBUM,103.0,855.0,797.0,4.0,0.0,,,,,,,
17986695037784641,VIDEO,,,,,,4.0,198.0,1915.0,1964.0,4.0,0.0,206.0
18341919772032529,VIDEO,,,,,,4.0,149.0,2154.0,2127.0,3.0,0.0,156.0
17977966162934943,VIDEO,,,,,,3.0,171.0,1696.0,1747.0,6.0,0.0,180.0
17896962212717195,VIDEO,,,,,,6.0,345.0,2662.0,2689.0,8.0,0.0,359.0
17907359477695085,VIDEO,,,,,,31.0,1976.0,23910.0,23435.0,70.0,3.0,2080.0
17978999446822615,VIDEO,,,,,,14.0,342.0,2802.0,2800.0,5.0,0.0,361.0
17965026317141790,VIDEO,,,,,,11.0,486.0,3526.0,3493.0,21.0,1.0,519.0
17948846978410030,CAROUSEL_ALBUM,81.0,740.0,682.0,0.0,0.0,,,,,,,
18171472480248056,VIDEO,,,,,,3.0,382.0,3070.0,3072.0,4.0,0.0,389.0
17939622593588658,VIDEO,,,,,,473.0,47889.0,822282.0,775915.0,7490.0,89.0,55941.0
17861122859850439,VIDEO,,,,,,5.0,588.0,4840.0,4938.0,25.0,0.0,618.0
18006177883538897,VIDEO,,,,,,2.0,214.0,2589.0,2542.0,9.0,0.0,225.0
17920987826646200,VIDEO,,,,,,7.0,386.0,3805.0,3660.0,14.0,0.0,407.0
17975625391904886,VIDEO,,,,,,7.0,252.0,3473.0,3488.0,5.0,0.0,264.0
18271269760102646,VIDEO,,,,,,14.0,473.0,3064.0,2971.0,7.0,0.0,494.0
17962668176167236,VIDEO,,,,,,7.0,379.0,3377.0,3259.0,6.0,0.0,392.0
17990957662641536,VIDEO,,,,,,6.0,248.0,3366.0,3420.0,6.0,0.0,260.0
17970744886976096,VIDEO,,,,,,5.0,237.0,3904.0,3751.0,7.0,0.0,249.0
18004763791541910,CAROUSEL_ALBUM,60.0,639.0,585.0,1.0,92.0,,,,,,,
18031728418429223,VIDEO,,,,,,2.0,313.0,4282.0,4275.0,8.0,1.0,324.0
17998349872580271,VIDEO,,,,,,0.0,253.0,3037.0,3115.0,6.0,0.0,259.0
17936692619587371,VIDEO,,,,,,9.0,235.0,4405.0,4474.0,11.0,0.0,255.0
17953941758149576,VIDEO,,,,,,4.0,248.0,3674.0,3827.0,7.0,0.0,259.0
17984697115697166,CAROUSEL_ALBUM,78.0,1229.0,1134.0,4.0,462.0,,,,,,,
18196155304231107,VIDEO,,,,,,2.0,280.0,3195.0,3382.0,11.0,0.0,293.0
18003487291551850,VIDEO,,,,,,233.0,40826.0,444717.0,434202.0,1466.0,24.0,42549.0
18119985925288098,VIDEO,,,,,,0.0,399.0,3454.0,3672.0,5.0,0.0,404.0
17966429921024139,VIDEO,,,,,,3.0,383.0,3631.0,3913.0,12.0,1.0,399.0
17997029617580006,CAROUSEL_ALBUM,41.0,469.0,444.0,2.0,0.0,,,,,,,
17874290612754877,VIDEO,,,,,,1.0,408.0,3620.0,3802.0,4.0,1.0,414.0
18195581794210823,VIDEO,,,,,,2.0,479.0,13650.0,15010.0,17.0,0.0,498.0
17935611686424423,VIDEO,,,,,,6.0,840.0,6464.0,6832.0,16.0,1.0,863.0
18264959758105013,VIDEO,,,,,,1.0,282.0,3039.0,3108.0,6.0,0.0,289.0
17966846123048250,VIDEO,,,,,,0.0,427.0,2618.0,2556.0,5.0,0.0,432.0
18164416969261696,VIDEO,,,,,,1.0,157.0,1827.0,1825.0,0.0,0.0,158.0
17998745065564498,VIDEO,,,,,,0.0,440.0,2549.0,2563.0,2.0,0.0,442.0
17977048111878886,VIDEO,,,,,,4.0,75.0,1639.0,1632.0,2.0,0.0,81.0
17997457744567723,VIDEO,,,,,,1.0,66.0,2504.0,2487.0,1.0,0.0,68.0
18020934100455328,VIDEO,,,,,,1.0,463.0,2636.0,2656.0,4.0,0.0,468.0
17955241628203498,CAROUSEL_ALBUM,29.0,357.0,347.0,0.0,0.0,,,,,,,
17877874700736176,VIDEO,,,,,,0.0,657.0,2661.0,2696.0,7.0,0.0,664.0
17954231903200300,VIDEO,,,,,,2.0,378.0,2497.0,2556.0,1.0,0.0,381.0
