media_id,media_type,engagement,impressions,reach,saved,video_views,video_comments,video_likes,video_plays,video_reach,video_saved,video_shares,video_interactions
17997749198031565,CAROUSEL_ALBUM,105.0,575.0,499.0,1.0,0.0,,,,,,,
18032718901532735,VIDEO,,,,,,19.0,252.0,4730.0,4704.0,21.0,0.0,292.0
17989115669188488,VIDEO,,,,,,2.0,146.0,2802.0,2734.0,2.0,0.0,150.0
18257298013095150,VIDEO,,,,,,5.0,278.0,4056.0,3934.0,13.0,0.0,296.0
18029842624549357,CAROUSEL_ALBUM,193.0,1306.0,1071.0,1.0,0.0,,,,,,,
18269035822196609,VIDEO,,,,,,14.0,511.0,18852.0,18969.0,23.0,0.0,548.0
18268236517194123,VIDEO,,,,,,1.0,233.0,2968.0,2772.0,8.0,2.0,244.0
17966988164586134,VIDEO,,,,,,9.0,791.0,7621.0,7650.0,25.0,0.0,825.0
17992763333094461,CAROUSEL_ALBUM,162.0,1437.0,1198.0,0.0,0.0,,,,,,,
17960899877430850,VIDEO,,,,,,29.0,1638.0,44542.0,43933.0,66.0,15.0,1748.0
18275142694176284,CAROUSEL_ALBUM,180.0,1310.0,1100.0,0.0,0.0,,,,,,,
17882118947873337,VIDEO,,,,,,7.0,351.0,5134.0,4684.0,74.0,0.0,432.0
18369673003037056,CAROUSEL_ALBUM,150.0,1288.0,1021.0,1.0,0.0,,,,,,,
17970212714519718,VIDEO,,,,,,17.0,598.0,13732.0,13790.0,23.0,1.0,639.0
17895292475821385,VIDEO,,,,,,8.0,333.0,3712.0,3461.0,8.0,0.0,349.0
18010556992665529,VIDEO,,,,,,7.0,430.0,4218.0,3975.0,9.0,1.0,447.0
17960414240573806,CAROUSEL_ALBUM,134.0,1325.0,1056.0,0.0,0.0,,,,,,,
17980350938261458,VIDEO,,,,,,12.0,326.0,4772.0,4704.0,8.0,0.0,346.0
18297154912096011,VIDEO,,,,,,10.0,487.0,5906.0,5143.0,16.0,2.0,515.0
17956281923565014,VIDEO,,,,,,3.0,212.0,3562.0,3418.0,28.0,0.0,243.0
18016030057614268,CAROUSEL_ALBUM,199.0,1497.0,1243.0,3.0,0.0,,,,,,,
17938544942658647,VIDEO,,,,,,11.0,223.0,3632.0,3206.0,8.0,1.0,243.0
18004617043744510,CAROUSEL_ALBUM,201.0,1550.0,1260.0,3.0,180.0,,,,,,,
18182124742283040,VIDEO,,,,,,11.0,375.0,5587.0,5523.0,26.0,1.0,413.0
17969436857237541,CAROUSEL_ALBUM,140.0,1189.0,948.0,0.0,0.0,,,,,,,
17994625876807884,VIDEO,,,,,,10.0,357.0,5058.0,4551.0,80.0,0.0,447.0
17989532851887990,VIDEO,,,,,,9.0,203.0,3354.0,3206.0,8.0,0.0,220.0
18286676836116247,VIDEO,,,,,,14.0,2280.0,17253.0,16983.0,29.0,0.0,2323.0
17848993310986230,CAROUSEL_ALBUM,182.0,1420.0,1220.0,2.0,0.0,,,,,,,
17877851690872507,VIDEO,,,,,,17.0,812.0,8238.0,7982.0,22.0,0.0,851.0
18176515228285899,VIDEO,,,,,,43.0,4758.0,150446.0,147764.0,1565.0,5.0,6371.0
17973168803141184,VIDEO,,,,,,6.0,693.0,6634.0,6438.0,18.0,3.0,720.0
17990216491965040,VIDEO,,,,,,1.0,144.0,2651.0,2528.0,10.0,2.0,157.0
17978522681057447,CAROUSEL_ALBUM,186.0,1800.0,1582.0,2.0,0.0,,,,,,,
