media_id,media_type,engagement,impressions,reach,saved,video_views,video_comments,video_likes,video_plays,video_reach,video_saved,video_shares,video_interactions
17990924653681298,VIDEO,,,,,,8.0,249.0,2820.0,2753.0,5.0,0.0,262.0
18053467066378330,CAROUSEL_ALBUM,162.0,1731.0,1434.0,1.0,0.0,,,,,,,
18340669381031613,VIDEO,,,,,,11.0,366.0,5301.0,5363.0,80.0,0.0,457.0
18010270168526764,VIDEO,,,,,,4.0,679.0,4745.0,4684.0,15.0,0.0,698.0
18318990493073675,VIDEO,,,,,,7.0,350.0,4008.0,3968.0,7.0,0.0,364.0
17997503683632576,VIDEO,,,,,,12.0,493.0,4923.0,4734.0,10.0,0.0,515.0
17970142465992427,VIDEO,,,,,,133.0,4000.0,101903.0,98338.0,314.0,11.0,4458.0
17991255901751643,VIDEO,,,,,,10.0,254.0,3720.0,3732.0,12.0,0.0,276.0
18042017350412165,VIDEO,,,,,,0.0,355.0,3365.0,3418.0,10.0,0.0,365.0
18195149029223547,VIDEO,,,,,,15.0,395.0,4379.0,4544.0,16.0,0.0,426.0
17955264359235742,VIDEO,,,,,,16.0,911.0,19008.0,18604.0,205.0,0.0,1132.0
18008579281553978,VIDEO,,,,,,3.0,413.0,3677.0,3726.0,11.0,0.0,427.0
17964422576225593,CAROUSEL_ALBUM,176.0,1715.0,1586.0,5.0,0.0,,,,,,,
17936022068496000,VIDEO,,,,,,0.0,282.0,3774.0,3745.0,8.0,0.0,290.0
18274224391106264,VIDEO,,,,,,10.0,330.0,19933.0,19284.0,26.0,0.0,366.0
17944914647344114,VIDEO,,,,,,7.0,347.0,3494.0,3423.0,15.0,0.0,369.0
18003721357569183,VIDEO,,,,,,5.0,542.0,4153.0,4068.0,16.0,0.0,563.0
17943786437382112,VIDEO,,,,,,4.0,271.0,2780.0,2792.0,14.0,0.0,289.0
17988049051663862,VIDEO,,,,,,1.0,124.0,1978.0,1959.0,6.0,1.0,132.0
18341676139055106,VIDEO,,,,,,3.0,194.0,3364.0,3304.0,6.0,0.0,203.0
18003270592577641,VIDEO,,,,,,2.0,285.0,2230.0,2202.0,9.0,0.0,296.0
17854781018895436,VIDEO,,,,,,2.0,248.0,2851.0,2855.0,9.0,0.0,259.0
17938981268450704,VIDEO,,,,,,11.0,312.0,4734.0,4800.0,16.0,1.0,340.0
18337537099027287,VIDEO,,,,,,19.0,283.0,3312.0,3393.0,7.0,1.0,310.0
18214572064202170,CAROUSEL_ALBUM,100.0,800.0,738.0,3.0,0.0,,,,,,,
17986695037784641,VIDEO,,,,,,4.0,193.0,1724.0,1760.0,4.0,0.0,201.0
18341919772032529,VIDEO,,,,,,4.0,142.0,1970.0,1938.0,2.0,0.0,148.0
