media_id,media_type,engagement,impressions,reach,saved,video_views,video_comments,video_likes,video_plays,video_reach,video_saved,video_shares,video_interactions
17968291136209367,VIDEO,,,,,,4.0,65.0,745.0,690.0,0.0,0.0,69.0
18346836808031022,VIDEO,,,,,,25.0,308.0,2511.0,2373.0,10.0,0.0,343.0
18167549188281056,CAROUSEL_ALBUM,336.0,2102.0,1811.0,6.0,0.0,,,,,,,
18273489337119691,VIDEO,,,,,,33.0,775.0,5679.0,5167.0,34.0,1.0,843.0
18059939899353810,VIDEO,,,,,,4.0,172.0,2754.0,2538.0,4.0,0.0,180.0
17980556446942319,VIDEO,,,,,,11.0,252.0,2903.0,2745.0,11.0,0.0,274.0
18347885284026803,VIDEO,,,,,,5.0,507.0,14787.0,14828.0,24.0,0.0,536.0
18179542273249425,VIDEO,,,,,,11.0,186.0,2421.0,2350.0,7.0,0.0,204.0
17951610170327993,VIDEO,,,,,,9.0,252.0,2938.0,2950.0,6.0,0.0,267.0
17990924653681298,VIDEO,,,,,,11.0,323.0,4537.0,4612.0,8.0,0.0,342.0
18053467066378330,CAROUSEL_ALBUM,172.0,2220.0,1892.0,1.0,0.0,,,,,,,
18340669381031613,VIDEO,,,,,,16.0,409.0,6498.0,6463.0,94.0,0.0,519.0
18010270168526764,VIDEO,,,,,,4.0,727.0,5715.0,5631.0,17.0,0.0,748.0
18318990493073675,VIDEO,,,,,,7.0,377.0,4867.0,5044.0,8.0,0.0,392.0
17997503683632576,VIDEO,,,,,,12.0,524.0,5750.0,5719.0,13.0,0.0,549.0
17970142465992427,VIDEO,,,,,,140.0,4652.0,116230.0,109150.0,367.0,11.0,5170.0
17991255901751643,VIDEO,,,,,,11.0,277.0,4387.0,4357.0,12.0,0.0,300.0
18042017350412165,VIDEO,,,,,,0.0,373.0,3914.0,3996.0,11.0,0.0,384.0
18195149029223547,VIDEO,,,,,,17.0,420.0,4981.0,5175.0,16.0,0.0,453.0
17955264359235742,VIDEO,,,,,,21.0,993.0,21522.0,20803.0,235.0,1.0,1250.0
18008579281553978,VIDEO,,,,,,5.0,435.0,4212.0,4219.0,11.0,1.0,452.0
17964422576225593,CAROUSEL_ALBUM,180.0,1850.0,1718.0,6.0,0.0,,,,,,,
17936022068496000,VIDEO,,,,,,0.0,291.0,4223.0,4211.0,9.0,0.0,300.0
18274224391106264,VIDEO,,,,,,12.0,365.0,20637.0,19920.0,29.0,0.0,406.0
17944914647344114,VIDEO,,,,,,7.0,360.0,3935.0,3821.0,15.0,0.0,382.0
