media_id,media_type,engagement,impressions,reach,saved,video_views,video_comments,video_likes,video_plays,video_reach,video_saved,video_shares,video_interactions
17951610170327993,VIDEO,,,,,,6.0,212.0,1960.0,1948.0,4.0,0.0,222.0
17990924653681298,VIDEO,,,,,,11.0,295.0,3533.0,3418.0,7.0,0.0,313.0
18053467066378330,CAROUSEL_ALBUM,166.0,1853.0,1533.0,1.0,0.0,,,,,,,
18340669381031613,VIDEO,,,,,,11.0,382.0,5626.0,5683.0,84.0,0.0,477.0
18010270168526764,VIDEO,,,,,,4.0,694.0,4993.0,4980.0,17.0,0.0,715.0
18318990493073675,VIDEO,,,,,,7.0,361.0,4232.0,4275.0,7.0,0.0,375.0
17997503683632576,VIDEO,,,,,,12.0,503.0,5120.0,5159.0,11.0,0.0,526.0
17970142465992427,VIDEO,,,,,,135.0,4345.0,110012.0,105693.0,331.0,11.0,4822.0
17991255901751643,VIDEO,,,,,,10.0,264.0,3899.0,3934.0,12.0,0.0,286.0
18042017350412165,VIDEO,,,,,,0.0,361.0,3510.0,3583.0,11.0,0.0,372.0
18195149029223547,VIDEO,,,,,,16.0,401.0,4537.0,4714.0,16.0,0.0,433.0
17955264359235742,VIDEO,,,,,,16.0,931.0,19605.0,19227.0,214.0,1.0,1162.0
18008579281553978,VIDEO,,,,,,3.0,418.0,3812.0,3893.0,11.0,1.0,433.0
17964422576225593,CAROUSEL_ALBUM,177.0,1748.0,1608.0,5.0,0.0,,,,,,,
17936022068496000,VIDEO,,,,,,0.0,283.0,3878.0,3847.0,8.0,0.0,291.0
18274224391106264,VIDEO,,,,,,10.0,340.0,20090.0,19481.0,27.0,0.0,377.0
17944914647344114,VIDEO,,,,,,7.0,349.0,3583.0,3493.0,15.0,0.0,371.0
18003721357569183,VIDEO,,,,,,5.0,542.0,4229.0,4150.0,16.0,0.0,563.0
17943786437382112,VIDEO,,,,,,4.0,272.0,2859.0,2896.0,15.0,0.0,291.0
17988049051663862,VIDEO,,,,,,1.0,124.0,2055.0,2046.0,6.0,1.0,132.0
18341676139055106,VIDEO,,,,,,3.0,198.0,3441.0,3386.0,6.0,0.0,207.0
18003270592577641,VIDEO,,,,,,2.0,285.0,2286.0,2258.0,9.0,0.0,296.0
17854781018895436,VIDEO,,,,,,2.0,248.0,2904.0,2921.0,9.0,0.0,259.0
17938981268450704,VIDEO,,,,,,11.0,315.0,4809.0,4878.0,17.0,1.0,344.0
18337537099027287,VIDEO,,,,,,19.0,284.0,3373.0,3455.0,7.0,1.0,311.0
18214572064202170,CAROUSEL_ALBUM,100.0,807.0,746.0,3.0,0.0,,,,,,,
17986695037784641,VIDEO,,,,,,4.0,193.0,1770.0,1811.0,4.0,0.0,201.0
18341919772032529,VIDEO,,,,,,4.0,142.0,2013.0,1980.0,3.0,0.0,149.0
17977966162934943,VIDEO,,,,,,3.0,166.0,1572.0,1617.0,6.0,0.0,175.0
17896962212717195,VIDEO,,,,,,6.0,340.0,2535.0,2538.0,8.0,0.0,354.0
17907359477695085,VIDEO,,,,,,31.0,1939.0,23347.0,22882.0,68.0,3.0,2041.0
17978999446822615,VIDEO,,,,,,14.0,340.0,2688.0,2659.0,5.0,0.0,359.0
17965026317141790,VIDEO,,,,,,11.0,473.0,3414.0,3391.0,20.0,1.0,505.0
17948846978410030,CAROUSEL_ALBUM,81.0,711.0,654.0,0.0,0.0,,,,,,,
18171472480248056,VIDEO,,,,,,3.0,378.0,2972.0,2946.0,4.0,0.0,385.0
17939622593588658,VIDEO,,,,,,414.0,41097.0,727133.0,692161.0,6302.0,74.0,47887.0
17861122859850439,VIDEO,,,,,,5.0,583.0,4727.0,4814.0,25.0,0.0,613.0
18006177883538897,VIDEO,,,,,,2.0,205.0,2447.0,2373.0,9.0,0.0,216.0
17920987826646200,VIDEO,,,,,,7.0,381.0,3698.0,3549.0,14.0,0.0,402.0
17975625391904886,VIDEO,,,,,,7.0,249.0,3380.0,3376.0,5.0,0.0,261.0
18271269760102646,VIDEO,,,,,,14.0,468.0,2977.0,2855.0,7.0,0.0,489.0
17962668176167236,VIDEO,,,,,,7.0,374.0,3295.0,3159.0,6.0,0.0,387.0
17990957662641536,VIDEO,,,,,,6.0,241.0,3282.0,3294.0,7.0,0.0,254.0
17970744886976096,VIDEO,,,,,,5.0,232.0,3803.0,3678.0,7.0,0.0,244.0
18004763791541910,CAROUSEL_ALBUM,60.0,617.0,560.0,1.0,89.0,,,,,,,
18031728418429223,VIDEO,,,,,,2.0,309.0,4198.0,4173.0,8.0,1.0,320.0
