media_id,media_type,engagement,impressions,reach,saved,video_views,video_comments,video_likes,video_plays,video_reach,video_saved,video_shares,video_interactions
18318990493073675,VIDEO,,,,,,7.0,247.0,1725.0,1684.0,2.0,0.0,256.0
17997503683632576,VIDEO,,,,,,12.0,416.0,3008.0,2867.0,3.0,0.0,431.0
17970142465992427,VIDEO,,,,,,91.0,1669.0,25841.0,24857.0,120.0,4.0,1884.0
17991255901751643,VIDEO,,,,,,10.0,217.0,2417.0,2313.0,8.0,0.0,235.0
18042017350412165,VIDEO,,,,,,0.0,333.0,2407.0,2382.0,10.0,0.0,343.0
18195149029223547,VIDEO,,,,,,15.0,351.0,3391.0,3525.0,12.0,0.0,378.0
17955264359235742,VIDEO,,,,,,8.0,805.0,16289.0,15808.0,151.0,0.0,964.0
18008579281553978,VIDEO,,,,,,3.0,386.0,2935.0,2963.0,9.0,0.0,398.0
17964422576225593,CAROUSEL_ALBUM,167.0,1388.0,1309.0,2.0,0.0,,,,,,,
17936022068496000,VIDEO,,,,,,0.0,259.0,3053.0,3023.0,7.0,0.0,266.0
18274224391106264,VIDEO,,,,,,9.0,284.0,18951.0,18434.0,22.0,0.0,315.0
17944914647344114,VIDEO,,,,,,7.0,326.0,2856.0,2839.0,14.0,0.0,347.0
18003721357569183,VIDEO,,,,,,5.0,524.0,3650.0,3601.0,15.0,0.0,544.0
17943786437382112,VIDEO,,,,,,3.0,256.0,2234.0,2225.0,11.0,0.0,270.0
17988049051663862,VIDEO,,,,,,1.0,109.0,1482.0,1480.0,3.0,1.0,114.0
18341676139055106,VIDEO,,,,,,3.0,178.0,2880.0,2819.0,6.0,0.0,187.0
18003270592577641,VIDEO,,,,,,2.0,275.0,1867.0,1837.0,8.0,0.0,285.0
17854781018895436,VIDEO,,,,,,2.0,242.0,2493.0,2497.0,9.0,0.0,253.0
17938981268450704,VIDEO,,,,,,10.0,285.0,4271.0,4317.0,14.0,1.0,310.0
18337537099027287,VIDEO,,,,,,19.0,264.0,2936.0,2988.0,7.0,1.0,291.0
18214572064202170,CAROUSEL_ALBUM,96.0,695.0,638.0,2.0,0.0,,,,,,,
17986695037784641,VIDEO,,,,,,4.0,184.0,1405.0,1440.0,3.0,0.0,191.0
18341919772032529,VIDEO,,,,,,4.0,131.0,1649.0,1639.0,2.0,0.0,137.0
17977966162934943,VIDEO,,,,,,3.0,161.0,1266.0,1301.0,6.0,0.0,170.0
17896962212717195,VIDEO,,,,,,6.0,334.0,2227.0,2216.0,8.0,0.0,348.0
17907359477695085,VIDEO,,,,,,31.0,1922.0,22858.0,22267.0,67.0,3.0,2023.0
17978999446822615,VIDEO,,,,,,14.0,332.0,2417.0,2424.0,5.0,0.0,351.0
17965026317141790,VIDEO,,,,,,11.0,461.0,3137.0,3094.0,19.0,1.0,492.0
17948846978410030,CAROUSEL_ALBUM,79.0,625.0,573.0,0.0,0.0,,,,,,,
18171472480248056,VIDEO,,,,,,3.0,374.0,2727.0,2696.0,4.0,0.0,381.0
17939622593588658,VIDEO,,,,,,277.0,25853.0,532810.0,503815.0,3742.0,43.0,29915.0
17861122859850439,VIDEO,,,,,,5.0,581.0,4476.0,4549.0,25.0,0.0,611.0
18006177883538897,VIDEO,,,,,,2.0,198.0,2154.0,2052.0,8.0,0.0,208.0
17920987826646200,VIDEO,,,,,,7.0,375.0,3462.0,3329.0,12.0,0.0,394.0
17975625391904886,VIDEO,,,,,,7.0,248.0,3184.0,3154.0,4.0,0.0,259.0
18271269760102646,VIDEO,,,,,,14.0,466.0,2780.0,2667.0,7.0,0.0,487.0
17962668176167236,VIDEO,,,,,,7.0,369.0,3107.0,2963.0,6.0,0.0,382.0
17990957662641536,VIDEO,,,,,,6.0,237.0,3108.0,3140.0,7.0,0.0,250.0
17970744886976096,VIDEO,,,,,,5.0,227.0,3592.0,3423.0,6.0,0.0,238.0
18004763791541910,CAROUSEL_ALBUM,57.0,553.0,494.0,1.0,85.0,,,,,,,
18031728418429223,VIDEO,,,,,,2.0,302.0,4025.0,4039.0,8.0,1.0,313.0
17998349872580271,VIDEO,,,,,,0.0,245.0,2797.0,2848.0,6.0,0.0,251.0
17936692619587371,VIDEO,,,,,,9.0,217.0,4087.0,4142.0,8.0,0.0,234.0
17953941758149576,VIDEO,,,,,,2.0,238.0,3400.0,3527.0,6.0,0.0,246.0
17984697115697166,CAROUSEL_ALBUM,75.0,1098.0,1005.0,2.0,411.0,,,,,,,
18196155304231107,VIDEO,,,,,,2.0,272.0,2946.0,3102.0,9.0,0.0,283.0
18003487291551850,VIDEO,,,,,,221.0,39199.0,421596.0,414214.0,1365.0,24.0,40809.0
18119985925288098,VIDEO,,,,,,0.0,391.0,3214.0,3448.0,4.0,0.0,395.0
17966429921024139,VIDEO,,,,,,3.0,377.0,3395.0,3666.0,12.0,1.0,393.0
17997029617580006,CAROUSEL_ALBUM,39.0,375.0,353.0,1.0,0.0,,,,,,,
17874290612754877,VIDEO,,,,,,1.0,397.0,3373.0,3540.0,4.0,1.0,403.0
18195581794210823,VIDEO,,,,,,2.0,471.0,13431.0,14777.0,16.0,0.0,489.0
17935611686424423,VIDEO,,,,,,6.0,831.0,6236.0,6640.0,16.0,1.0,854.0
18264959758105013,VIDEO,,,,,,1.0,275.0,2793.0,2803.0,6.0,0.0,282.0
17966846123048250,VIDEO,,,,,,0.0,419.0,2403.0,2322.0,5.0,0.0,424.0
18164416969261696,VIDEO,,,,,,1.0,150.0,1624.0,1639.0,0.0,0.0,151.0
17998745065564498,VIDEO,,,,,,0.0,434.0,2345.0,2379.0,2.0,0.0,436.0
17977048111878886,VIDEO,,,,,,4.0,68.0,1411.0,1408.0,1.0,0.0,73.0
