media_id,media_type,engagement,impressions,reach,saved,video_views,video_comments,video_likes,video_plays,video_reach,video_saved,video_shares,video_interactions
17990924653681298,VIDEO,,,,,,4.0,98.0,750.0,608.0,1.0,0.0,103.0
18053467066378330,CAROUSEL_ALBUM,153.0,1511.0,1254.0,1.0,0.0,,,,,,,
18340669381031613,VIDEO,,,,,,11.0,352.0,5008.0,4924.0,76.0,0.0,439.0
18010270168526764,VIDEO,,,,,,4.0,669.0,4557.0,4417.0,13.0,0.0,686.0
18318990493073675,VIDEO,,,,,,7.0,345.0,3837.0,3776.0,6.0,0.0,358.0
17997503683632576,VIDEO,,,,,,12.0,489.0,4753.0,4597.0,10.0,0.0,511.0
17970142465992427,VIDEO,,,,,,132.0,3711.0,92105.0,88209.0,287.0,9.0,4139.0
17991255901751643,VIDEO,,,,,,10.0,250.0,3590.0,3578.0,11.0,0.0,271.0
18042017350412165,VIDEO,,,,,,0.0,353.0,3267.0,3284.0,10.0,0.0,363.0
18195149029223547,VIDEO,,,,,,15.0,392.0,4275.0,4437.0,15.0,0.0,422.0
17955264359235742,VIDEO,,,,,,16.0,894.0,18738.0,18237.0,197.0,0.0,1107.0
18008579281553978,VIDEO,,,,,,3.0,411.0,3600.0,3678.0,10.0,0.0,424.0
17964422576225593,CAROUSEL_ALBUM,175.0,1684.0,1565.0,5.0,0.0,,,,,,,
17936022068496000,VIDEO,,,,,,0.0,280.0,3692.0,3672.0,8.0,0.0,288.0
18274224391106264,VIDEO,,,,,,10.0,324.0,19812.0,19182.0,26.0,0.0,360.0
17944914647344114,VIDEO,,,,,,7.0,344.0,3420.0,3360.0,15.0,0.0,366.0
18003721357569183,VIDEO,,,,,,5.0,540.0,4095.0,4003.0,15.0,0.0,560.0
17943786437382112,VIDEO,,,,,,4.0,271.0,2717.0,2726.0,14.0,0.0,289.0
17988049051663862,VIDEO,,,,,,1.0,121.0,1923.0,1920.0,4.0,1.0,127.0
18341676139055106,VIDEO,,,,,,3.0,191.0,3317.0,3255.0,6.0,0.0,200.0
18003270592577641,VIDEO,,,,,,2.0,285.0,2191.0,2170.0,9.0,0.0,296.0
17854781018895436,VIDEO,,,,,,2.0,248.0,2811.0,2839.0,9.0,0.0,259.0
17938981268450704,VIDEO,,,,,,11.0,311.0,4693.0,4754.0,16.0,1.0,339.0
18337537099027287,VIDEO,,,,,,19.0,280.0,3270.0,3347.0,7.0,1.0,307.0
18214572064202170,CAROUSEL_ALBUM,99.0,784.0,727.0,3.0,0.0,,,,,,,
