media_id,media_type,engagement,impressions,reach,saved,video_views,video_comments,video_likes,video_plays,video_reach,video_saved,video_shares,video_interactions
18059939899353810,VIDEO,,,,,,1.0,86.0,801.0,766.0,1.0,0.0,88.0
17980556446942319,VIDEO,,,,,,8.0,210.0,2015.0,1887.0,10.0,0.0,228.0
18347885284026803,VIDEO,,,,,,5.0,445.0,10789.0,10787.0,18.0,0.0,468.0
18179542273249425,VIDEO,,,,,,9.0,168.0,1899.0,1823.0,6.0,0.0,183.0
17951610170327993,VIDEO,,,,,,7.0,242.0,2577.0,2566.0,6.0,0.0,255.0
17990924653681298,VIDEO,,,,,,11.0,314.0,4106.0,4046.0,7.0,0.0,332.0
18053467066378330,CAROUSEL_ALBUM,169.0,2049.0,1730.0,1.0,0.0,,,,,,,
18340669381031613,VIDEO,,,,,,12.0,397.0,6096.0,6082.0,91.0,0.0,500.0
18010270168526764,VIDEO,,,,,,4.0,712.0,5370.0,5309.0,17.0,0.0,733.0
18318990493073675,VIDEO,,,,,,7.0,369.0,4580.0,4616.0,8.0,0.0,384.0
17997503683632576,VIDEO,,,,,,12.0,510.0,5450.0,5420.0,13.0,0.0,535.0
17970142465992427,VIDEO,,,,,,137.0,4488.0,112194.0,106924.0,345.0,11.0,4981.0
17991255901751643,VIDEO,,,,,,10.0,269.0,4160.0,4173.0,12.0,0.0,291.0
18042017350412165,VIDEO,,,,,,0.0,368.0,3720.0,3770.0,11.0,0.0,379.0
18195149029223547,VIDEO,,,,,,16.0,409.0,4760.0,4945.0,16.0,0.0,441.0
17955264359235742,VIDEO,,,,,,18.0,962.0,20620.0,19977.0,223.0,1.0,1204.0
18008579281553978,VIDEO,,,,,,3.0,426.0,4039.0,4082.0,11.0,1.0,441.0
17964422576225593,CAROUSEL_ALBUM,178.0,1794.0,1659.0,5.0,0.0,,,,,,,
17936022068496000,VIDEO,,,,,,0.0,285.0,4052.0,4025.0,9.0,0.0,294.0
18274224391106264,VIDEO,,,,,,10.0,354.0,20374.0,19624.0,28.0,0.0,392.0
17944914647344114,VIDEO,,,,,,7.0,352.0,3747.0,3684.0,15.0,0.0,374.0
18003721357569183,VIDEO,,,,,,5.0,545.0,4369.0,4267.0,16.0,0.0,566.0
17943786437382112,VIDEO,,,,,,4.0,275.0,3000.0,3045.0,16.0,0.0,295.0
17988049051663862,VIDEO,,,,,,1.0,126.0,2187.0,2187.0,7.0,1.0,135.0
18341676139055106,VIDEO,,,,,,3.0,201.0,3560.0,3488.0,7.0,0.0,211.0
18003270592577641,VIDEO,,,,,,2.0,286.0,2386.0,2350.0,9.0,0.0,297.0
17854781018895436,VIDEO,,,,,,2.0,250.0,2999.0,2993.0,9.0,0.0,261.0
17938981268450704,VIDEO,,,,,,11.0,321.0,4958.0,5025.0,18.0,1.0,351.0
18337537099027287,VIDEO,,,,,,20.0,290.0,3481.0,3568.0,7.0,1.0,318.0
18214572064202170,CAROUSEL_ALBUM,101.0,829.0,770.0,3.0,0.0,,,,,,,
17986695037784641,VIDEO,,,,,,4.0,195.0,1859.0,1897.0,4.0,0.0,203.0
18341919772032529,VIDEO,,,,,,4.0,145.0,2094.0,2052.0,3.0,0.0,152.0
17977966162934943,VIDEO,,,,,,3.0,167.0,1642.0,1688.0,6.0,0.0,176.0
17896962212717195,VIDEO,,,,,,6.0,342.0,2607.0,2630.0,8.0,0.0,356.0
17907359477695085,VIDEO,,,,,,31.0,1950.0,23531.0,23099.0,69.0,3.0,2053.0
17978999446822615,VIDEO,,,,,,14.0,339.0,2751.0,2723.0,5.0,0.0,358.0
17965026317141790,VIDEO,,,,,,11.0,480.0,3474.0,3444.0,20.0,1.0,512.0
17948846978410030,CAROUSEL_ALBUM,81.0,727.0,669.0,0.0,0.0,,,,,,,
18171472480248056,VIDEO,,,,,,3.0,379.0,3027.0,3001.0,4.0,0.0,386.0
17939622593588658,VIDEO,,,,,,462.0,45378.0,778722.0,732984.0,7037.0,86.0,52963.0
17861122859850439,VIDEO,,,,,,5.0,585.0,4792.0,4887.0,25.0,0.0,615.0
18006177883538897,VIDEO,,,,,,2.0,210.0,2532.0,2474.0,9.0,0.0,221.0
17920987826646200,VIDEO,,,,,,7.0,383.0,3757.0,3612.0,14.0,0.0,404.0
17975625391904886,VIDEO,,,,,,7.0,249.0,3431.0,3444.0,5.0,0.0,261.0
18271269760102646,VIDEO,,,,,,14.0,470.0,3025.0,2921.0,7.0,0.0,491.0
17962668176167236,VIDEO,,,,,,7.0,375.0,3340.0,3225.0,6.0,0.0,388.0
17990957662641536,VIDEO,,,,,,6.0,244.0,3329.0,3370.0,6.0,0.0,256.0
17970744886976096,VIDEO,,,,,,5.0,234.0,3856.0,3702.0,7.0,0.0,246.0
18004763791541910,CAROUSEL_ALBUM,60.0,627.0,572.0,1.0,90.0,,,,,,,
18031728418429223,VIDEO,,,,,,2.0,310.0,4244.0,4251.0,8.0,1.0,321.0
17998349872580271,VIDEO,,,,,,0.0,250.0,3004.0,3077.0,6.0,0.0,256.0
17936692619587371,VIDEO,,,,,,9.0,229.0,4365.0,4433.0,11.0,0.0,249.0
17953941758149576,VIDEO,,,,,,4.0,245.0,3639.0,3789.0,7.0,0.0,256.0
17984697115697166,CAROUSEL_ALBUM,78.0,1211.0,1115.0,4.0,457.0,,,,,,,
18196155304231107,VIDEO,,,,,,2.0,277.0,3162.0,3347.0,10.0,0.0,289.0
18003487291551850,VIDEO,,,,,,231.0,40457.0,440093.0,429385.0,1444.0,24.0,42156.0
18119985925288098,VIDEO,,,,,,0.0,396.0,3422.0,3636.0,5.0,0.0,401.0
17966429921024139,VIDEO,,,,,,3.0,380.0,3597.0,3860.0,12.0,1.0,396.0
17997029617580006,CAROUSEL_ALBUM,41.0,453.0,426.0,2.0,0.0,,,,,,,
17874290612754877,VIDEO,,,,,,1.0,405.0,3585.0,3766.0,4.0,1.0,411.0
18195581794210823,VIDEO,,,,,,2.0,476.0,13619.0,14975.0,17.0,0.0,495.0
17935611686424423,VIDEO,,,,,,6.0,836.0,6431.0,6798.0,16.0,1.0,859.0
18264959758105013,VIDEO,,,,,,1.0,279.0,3003.0,3063.0,6.0,0.0,286.0
17966846123048250,VIDEO,,,,,,0.0,424.0,2585.0,2507.0,5.0,0.0,429.0
18164416969261696,VIDEO,,,,,,1.0,154.0,1798.0,1791.0,0.0,0.0,155.0
17998745065564498,VIDEO,,,,,,0.0,438.0,2520.0,2521.0,2.0,0.0,440.0
17977048111878886,VIDEO,,,,,,4.0,72.0,1606.0,1599.0,2.0,0.0,78.0
17997457744567723,VIDEO,,,,,,1.0,63.0,2472.0,2467.0,1.0,0.0,65.0
18020934100455328,VIDEO,,,,,,1.0,460.0,2609.0,2630.0,5.0,0.0,466.0
17955241628203498,CAROUSEL_ALBUM,28.0,347.0,336.0,0.0,0.0,,,,,,,
17877874700736176,VIDEO,,,,,,0.0,654.0,2634.0,2667.0,7.0,0.0,661.0
17954231903200300,VIDEO,,,,,,2.0,375.0,2466.0,2514.0,1.0,0.0,378.0
17974904068884846,VIDEO,,,,,,5.0,258.0,3082.0,3010.0,9.0,0.0,272.0
17934399209433770,VIDEO,,,,,,4.0,608.0,13860.0,13987.0,12.0,0.0,624.0
18033294412416622,CAROUSEL_ALBUM,40.0,454.0,422.0,2.0,263.0,,,,,,,
