media_id,media_type,engagement,impressions,reach,saved,video_views,video_comments,video_likes,video_plays,video_reach,video_saved,video_shares,video_interactions
17906972327761454,CAROUSEL_ALBUM,127.0,851.0,687.0,0.0,0.0,,,,,,,
18008835829897597,VIDEO,,,,,,13.0,123.0,1552.0,1480.0,0.0,0.0,136.0
18003789032003798,CAROUSEL_ALBUM,211.0,1257.0,1013.0,3.0,0.0,,,,,,,
18019034251731560,VIDEO,,,,,,48.0,349.0,4632.0,4082.0,9.0,0.0,406.0
17995829825137446,CAROUSEL_ALBUM,179.0,1138.0,926.0,1.0,0.0,,,,,,,
17899824185841697,VIDEO,,,,,,4.0,373.0,4386.0,4259.0,16.0,1.0,394.0
18064883164418565,VIDEO,,,,,,3.0,179.0,2639.0,2497.0,5.0,0.0,187.0
17967852242564381,VIDEO,,,,,,15.0,504.0,5689.0,5541.0,19.0,3.0,541.0
17997749198031565,CAROUSEL_ALBUM,144.0,1122.0,918.0,2.0,0.0,,,,,,,
18032718901532735,VIDEO,,,,,,20.0,264.0,5015.0,4891.0,22.0,0.0,306.0
17989115669188488,VIDEO,,,,,,2.0,158.0,2954.0,2871.0,2.0,0.0,162.0
18257298013095150,VIDEO,,,,,,5.0,281.0,4157.0,4032.0,13.0,0.0,299.0
18029842624549357,CAROUSEL_ALBUM,193.0,1350.0,1103.0,1.0,0.0,,,,,,,
18269035822196609,VIDEO,,,,,,14.0,514.0,19146.0,19188.0,24.0,0.0,552.0
18268236517194123,VIDEO,,,,,,1.0,234.0,3037.0,2807.0,8.0,2.0,245.0
17966988164586134,VIDEO,,,,,,9.0,789.0,7697.0,7737.0,25.0,0.0,823.0
17992763333094461,CAROUSEL_ALBUM,162.0,1471.0,1221.0,0.0,0.0,,,,,,,
17960899877430850,VIDEO,,,,,,29.0,1674.0,46261.0,45488.0,69.0,15.0,1787.0
18275142694176284,CAROUSEL_ALBUM,180.0,1341.0,1127.0,0.0,0.0,,,,,,,
17882118947873337,VIDEO,,,,,,7.0,351.0,5193.0,4704.0,75.0,0.0,433.0
18369673003037056,CAROUSEL_ALBUM,150.0,1312.0,1044.0,1.0,0.0,,,,,,,
17970212714519718,VIDEO,,,,,,17.0,599.0,13777.0,13843.0,23.0,1.0,640.0
17895292475821385,VIDEO,,,,,,8.0,334.0,3757.0,3499.0,8.0,0.0,350.0
18010556992665529,VIDEO,,,,,,7.0,431.0,4263.0,4053.0,9.0,1.0,448.0
17960414240573806,CAROUSEL_ALBUM,135.0,1341.0,1074.0,0.0,0.0,,,,,,,
17980350938261458,VIDEO,,,,,,12.0,326.0,4811.0,4754.0,7.0,0.0,345.0
18297154912096011,VIDEO,,,,,,10.0,486.0,5943.0,5163.0,16.0,2.0,514.0
17956281923565014,VIDEO,,,,,,4.0,213.0,3608.0,3455.0,28.0,0.0,245.0
18016030057614268,CAROUSEL_ALBUM,197.0,1513.0,1258.0,2.0,0.0,,,,,,,
17938544942658647,VIDEO,,,,,,11.0,223.0,3698.0,3299.0,8.0,1.0,243.0
18004617043744510,CAROUSEL_ALBUM,199.0,1585.0,1286.0,2.0,0.0,,,,,,,
18182124742283040,VIDEO,,,,,,11.0,374.0,5627.0,5572.0,25.0,1.0,411.0
17969436857237541,CAROUSEL_ALBUM,140.0,1200.0,956.0,0.0,0.0,,,,,,,
17994625876807884,VIDEO,,,,,,10.0,357.0,5104.0,4607.0,80.0,0.0,447.0
17989532851887990,VIDEO,,,,,,9.0,204.0,3386.0,3240.0,8.0,0.0,221.0
18286676836116247,VIDEO,,,,,,14.0,2280.0,17295.0,17016.0,29.0,0.0,2323.0
17848993310986230,CAROUSEL_ALBUM,181.0,1439.0,1243.0,2.0,0.0,,,,,,,
17877851690872507,VIDEO,,,,,,17.0,811.0,8275.0,8017.0,21.0,0.0,849.0
18176515228285899,VIDEO,,,,,,44.0,4807.0,152457.0,149072.0,1589.0,5.0,6445.0
